Original_Review,Aspects,Sentiments,Empty,label
음료가 예쁘게 나와서 기분좋게 먹기 좋아요,커피_음료,긍정,,100000000000
스벅에 자리 없어 돌아댕기다 찾았는데 스벅 안가길 잘했네요 깔끔하고 좋네요 의자도 편하고 갤러리카페라 지루하지 않고,공간_편의시설/분위기_감성,긍정/긍정,,000000110000
촬영차 방문했습니다! 커피도 맛있고 사장님도 친절하셔서 재방문 할 생각입니다!,커피_음료/서비스,긍정/긍정,,100000001000
와인이랑 아이스크림 조합 너무 좋아요! 크림블루치즈맛 아이스크림 추천합니다!! 꼭 드세요오옹! 2차로 오기 너무 좋은 것 같아요,기타_디저트/분위기_감성,긍정/긍정,,000001010000
소금빵 맛있어요!!,베이커리_빵,긍정,,010000000000
커피맛있어요 !!! 공간도 너무 이쁘요,커피_음료/분위기_감성,긍정/긍정,,100000010000
넘 차분하고 편안한 공간이어요 꼭 와보고싶었는데 기대보다도 더 좋아요! 까눌레 패키지도 너무 귀엽고 직원분들도 넘 친절하세요 히히,쿠키_구움과자/공간_편의시설/분위기_감성/서비스,긍정/긍정/긍정/긍정,,000100111000
분위기가 정말 좋고 사장님도 친절하세요!! 성수 오시면 뉴앳던 꼭 들리세요 ..,분위기_감성/서비스,긍정/긍정,,000000011000
사람 없을 때 가니 조용하고 좋았어요. 직원 분도 진짜 친절하시고.,서비스/혼잡도_웨이팅,긍정/긍정,,000000001001
너무 좋아하는 수플레 팬케이크 집입니다!!! 여름에 커피랑 같이 마시면 너무 맛있어요 과일도 양도많고 신선하고 팬케이크는 보드랍고 너무 맛있습니다 커피도 맛있어요,커피_음료/케이크/빙수_과일,긍정/긍정/긍정,,101010000000
저 케익을 보고 안먹어 볼수가 없죵 커피잔도 이뿌고 가게가 아늑해서 좋았어요 다만 내부가 작다보니 대화 소음은 감안해야할듯 포크 세척이 잘 안된것도 좀 아쉬웠어요,케이크/공간_편의시설/분위기_감성/혼잡도_웨이팅,긍정/부정/긍정/부정,,001000210002
컨셉이 독특하고 재밌어서 방문했고 만족합니다 아이스크림 술 조합으로 귀여운 디저트까지 추천,기타_디저트/분위기_감성,긍정/긍정,,000001010000
페스츄리가 바싹하고 안 달고 넘넘 맛있었어요,베이커리_빵,긍정,,010000000000
사진도 잘나오고 엄청 이쁜 카페에요!,분위기_감성,긍정,,000000010000
"디카페인 아메리카노 6,000가 있어서 너무 좋아요 ! 카페가 엄청 넓은데도 늦은 시간까지 사람이 정말 많아요 오후 9시쯤 방문하니 디저트는 없었어요!",커피_음료/공간_편의시설/가격_가성비/혼잡도_웨이팅,긍정/긍정/긍정/부정,,100000100102
빵이 너무 귀여워요!!!! 종류도 많고 맛잇어요 !!! 다음에 또 올꺼예여!!!!!,베이커리_빵,긍정,,010000000000
"평범한 요거트 스무디가 6,800원이라니..너무하지만 그래도 베이글은 정말 맛있어요 훈제 연어면 호불호가 약간 있어 전 좋아하지 않는데 이질감 없이 너무 맛있고 든든히 먹고 갑니다",커피_음료/베이커리_빵/가격_가성비,중립/긍정/부정,,110000000200
여기서만 맛 볼 수 있는 빵들이 많아서 좋아요,베이커리_빵,긍정,,010000000000
"베이글 맛집 베이크모굴에 왔다갔어요! 바질베이글이랑 무화과 케이크 너무 예쁘고 맛있어요,,,",베이커리_빵/케이크,긍정/긍정,,011000000000
바삭쫀득한데 취향따라 크림 찍어먹으면 맛있어요 커피도 맛있음!,커피_음료/베이커리_빵,긍정/긍정,,110000000000
할명수 보고 왔는데 정말 커피 맛집입니다!!,커피_음료,긍정,,100000000000
매장 깨끗하고 분위기 좋고 든든 미숫가루 너무 맛있어요!!!,커피_음료/공간_편의시설/분위기_감성,긍정/긍정/긍정,,100000110000
맛있고 예쁘고 가격도 합리적입니다,분위기_감성/가격_가성비,긍정/긍정,,000000010100
자리도 꽤 넉넉하고 늦은 시간까지 영업해서 좋아요 빙수도 맛있어요!,빙수_과일/공간_편의시설,긍정/긍정,,000010100000
빵은 촉촉하구 바나나는 달달허구 블루베리는 싱싱해요 맛있었어요 !,베이커리_빵/빙수_과일,긍정/긍정,,010010000000
이훈 직원님 굳이 본인한테 주문하라고 해놓고 딴짓하셔서 뒷사람이 먼저 주문했어요 이미 사십분 넘게 기다린 고객에게 그렇게 하는 개 맞았을까요? 의문이네요,서비스/혼잡도_웨이팅,부정/부정,,000000002002
와 롯데타워 안에 계속 돌아다니면서 쇼핑하는거 오랜만에 너무 지쳐서 아이스크림 커피수혈 하러 커피만 이날 3번째 앉고싶어어어어어어어 아이스크림 좋아용 아포가토처럼 찍어먹으니 더맛난,커피_음료/기타_디저트,긍정/긍정,,100001000000
검색해서 찾은 쌀빵집인데 너무 맛있어요!! 갈때마다 몇개씩 사서 냉동했다가 꺼내먹는데 좋네요,베이커리_빵,긍정,,010000000000
핫하다는 어니언 드뎌 갔음 앉을자리를 꼭 확보하셔야해여. 비가 너므 와서 실내가 유난히 안락했어여 저 검정크런치빵.. 엄청 호평이었어요. 맛났음 추천입니당,베이커리_빵/공간_편의시설/분위기_감성/혼잡도_웨이팅,긍정/부정/긍정/부정,,010000210002
분위기 좋고 아이스크림 와인 조화가 너무 좋아요,기타_디저트/분위기_감성,긍정/긍정,,000001010000
조용하고 친절하고 커피가 마싯서요,커피_음료/서비스/혼잡도_웨이팅,긍정/긍정/긍정,,100000001001
"2시쯤 방문했는데, 다행히 대기 줄이 없어서 바로 구매할 수 있었어요!",혼잡도_웨이팅,긍정,,000000000001
디저트 티라미수 너무 맛있어요 !!! 사과에이드도 완전 추천 !! 단체방이 있어서 아늑하니 좋습니다,커피_음료/케이크/공간_편의시설/분위기_감성,긍정/긍정/긍정/긍정,,101000110000
여자친구가 좋아해요,없음,없음,,000000000000
테린느 맛있어요 강아지랑 같이 갈 수 있어 좋아요,기타_디저트/공간_편의시설,긍정/긍정,,000001100000
뷰도좋고 커피도맛나요,커피_음료/분위기_감성,긍정/긍정,,100000010000
가끔 오는데 맛 있어요. 성수동 오면 들릴만 함. 케이크와 커피조합 굿굿.,커피_음료/케이크,긍정/긍정,,101000000000
베이글이 쫀득하고 맛있어요 크림 많이 들은 베이글도 기본베이글도 다 맛있었어요,베이커리_빵,긍정,,010000000000
늦게까지 하는 카페를 칮다 우연히 방문했는데 공간이 탁 트인 느낌이 너무 좋고 틀어주시는 음악 플리가 취향저격입니다 브라우니도 진짜 맛있어요,쿠키_구움과자/공간_편의시설/분위기_감성,긍정/긍정/긍정,,000100110000
뉴올리언스 커피 맛잇어용,커피_음료,긍정,,100000000000
그릭요거트 땡겨서 성수에서 알아보고 간 곳인데 사람이 꽉 차 있어서 기다리더 먹었어요! 왜 인기많은 곳인지 납득 가능.. 토핑도 엄청 알차게 올라가고 그릭요거트 종류도 다양해서 골라먹는 재미가 있어요! 신선한 과일과 견과류로 예쁘게 토핑해주셔서 눈도 입도 즐거웠습니당,기타_디저트/혼잡도_웨이팅,긍정/부정,,000001000002
피넛버터만 먹어봤었는데 음료먹어보니 맛있어요 바나나향이 빠지지않고 들어가네요,커피_음료,긍정,,100000000000
맛있음 갈때마다 매번 자리없어서 못먹었는데! 좁은게 넘 아쉬움,공간_편의시설/혼잡도_웨이팅,부정/부정,,000000200002
너무 맛있어요!!!,없음,없음,,000000000000
편하게 가기 좋아요,공간_편의시설,긍정,,000000100000
빵냄새 폴폴 직원분도 완전 친절하시구 시식도 할 수 있고 빵도 맛있는거 같아요!,베이커리_빵/서비스,긍정/긍정,,010000001000
스트레스도 풀리고 재미있었어요 은근 오래걸리네요 다음엔 좀 더 잘하고 싶네요,없음,없음,,000000000000
