text,aspect,sentiment,keywords,label
원두 향이 정말 진하고 산미가 적당해서 제 입맛에 딱 맞아요.,커피음료,Positive,"원두 향, 산미, 제 입맛에 딱",100000000000
여기 에스프레소는 크레마가 장난 아니네요. 진짜 묵직합니다.,커피음료,Positive,"에스프레소, 크레마, 묵직",100000000000
로스팅을 직접 하셔서 그런지 탄 맛 하나도 없고 고소함이 일품이에요.,커피음료,Positive,"로스팅, 탄 맛 없고, 고소함 일품",100000000000
핸드드립 커피 마셔봤는데 과일 향이 입안 가득 퍼지는 게 예술입니다.,커피음료,Positive,"핸드드립, 과일 향, 예술",100000000000
커피 원두의 풍미가 깊어서 한 입 마시자마자 감탄했어요.,커피음료,Positive,"원두 풍미, 깊어서, 감탄",100000000000
디카페인인데도 일반 커피랑 차이를 모를 정도로 맛이 훌륭하네요.,커피음료,Positive,"디카페인, 차이를 모를 정도, 훌륭",100000000000
라떼 아트도 예쁘지만 우유 스팀이 부드러워서 커피랑 조화가 미쳤어요.,커피음료,Positive,"우유 스팀, 부드러워서, 조화 미쳤음",100000000000
묵직한 바디감을 좋아하시는 분들이라면 여기 원두 무조건 추천합니다.,커피음료,Positive,"바디감, 원두 추천",100000000000
"원두 선택할 수 있는 게 장점인데, 산미 있는 원두가 정말 신선해요.",커피음료,Positive,"원두 선택, 산미, 신선",100000000000
아메리카노 맛이 깔끔해서 다 마시고 나서도 입안이 개운합니다.,커피음료,Positive,"깔끔해서, 개운",100000000000
콜드브루 특유의 깔끔함이 잘 살아있어서 여름에 마시기 최고예요.,커피음료,Positive,"콜드브루, 깔끔함, 최고",100000000000
커피가 식어도 맛이 변하지 않고 끝까지 맛있어서 놀랐습니다.,커피음료,Positive,"식어도 맛이 변하지 않고, 맛있어서",100000000000
여기 오면 무조건 시그니처 커피 드세요. 커피 맛이 정말 고급스러워요.,커피음료,Positive,"시그니처, 고급스러워요",100000000000
원두가 신선해서 그런지 마시고 나서 속도 편하고 향이 오래 남네요.,커피음료,Positive,"원두 신선, 속도 편하고, 향 오래 남음",100000000000
카푸치노 시나몬 향이랑 커피 맛이 너무 잘 어우러져서 맛있어요.,커피음료,Positive,"시나몬 향, 어우러져서, 맛있어요",100000000000
커피 농도가 진해서 얼음이 녹아도 싱겁지 않고 맛있게 먹었네요.,커피음료,Positive,"농도 진해서, 싱겁지 않고, 맛있게",100000000000
바닐라 라떼에 들어가는 에스프레소가 맛있으니까 확실히 급이 달라요.,커피음료,Positive,"에스프레소 맛있으니까, 급이 다름",100000000000
커피 맛집 인정입니다. 원두의 고소함이 딱 제가 찾던 맛이에요.,커피음료,Positive,"커피 맛집, 고소함, 제가 찾던 맛",100000000000
아인슈페너 크림 밑으로 들어오는 커피가 쌉쌀하니 조화가 굿입니다.,커피음료,Positive,"아인슈페너, 쌉쌀하니, 조화 굿",100000000000
매일 마시고 싶은 커피 맛이에요. 원두 품질이 정말 좋은 것 같아요.,커피음료,Positive,"매일 마시고 싶은, 품질 정말 좋음",100000000000
고소한 원두 좋아하시는 분들께 강력 추천! 커피가 정말 맛있어요.,커피음료,Positive,"고소한 원두, 추천, 맛있어요",100000000000
산미 있는 커피 좋아하는데 여기 원두는 신선한 과일 향이 나네요.,커피음료,Positive,"산미, 과일 향, 신선",100000000000
커피 맛이 깊고 진해서 피로가 싹 풀리는 기분입니다.,커피음료,Positive,"맛이 깊고 진해서, 피로 풀림",100000000000
여기 커피는 끝맛이 텁텁하지 않고 깔끔하게 떨어져서 좋아요.,커피음료,Positive,"끝맛, 깔끔하게, 좋아요",100000000000
집 근처에 이런 커피 맛집이 있다니 행운이네요. 커피 진짜 맛나요.,커피음료,Positive,"커피 맛집, 진짜 맛나요",100000000000
라떼가 우유 비린내 없이 커피랑 부드럽게 넘어가서 만족스러워요.,커피음료,Positive,"우유 비린내 없이, 부드럽게, 만족",100000000000
좋은 원두 쓰시는 게 맛에서 다 느껴집니다. 커피 향이 예술이에요.,커피음료,Positive,"좋은 원두, 커피 향 예술",100000000000
에스프레소 베이스가 탄탄하니까 어떤 커피 메뉴를 시켜도 성공이네요.,커피음료,Positive,"에스프레소 베이스, 탄탄, 성공",100000000000
아메리카노 고소한 맛이 일품입니다. 탄 맛이 없어서 너무 좋아요.,커피음료,Positive,"고소한 맛 일품, 탄 맛 없어서",100000000000
커피 한 입에 전문성이 느껴집니다. 진짜 커피 제대로 하는 곳이네요.,커피음료,Positive,"전문성, 제대로 하는 곳",100000000000
커피에서 너무 탄 맛만 나고 원두 특유의 향이 전혀 안 느껴져요.,커피음료,Negative,"탄 맛만 나고, 향 안 느껴져요",200000000000
아메리카노가 너무 연해서 보리차 마시는 기분이 들 정도네요.,커피음료,Negative,"너무 연해서, 보리차 마시는 기분",200000000000
원두 관리를 어떻게 하시는 건지 약간 쩐내가 나서 마시기 힘들었어요.,커피음료,Negative,"쩐내가 나서, 마시기 힘듦",200000000000
산미가 있는 게 아니라 커피가 시큼하게 변한 것 같은 느낌이에요.,커피음료,Negative,"산미 아니라, 시큼하게 변한",200000000000
에스프레소가 너무 추출이 많이 된 건지 쓴맛만 강해서 다 못 마셨습니다.,커피음료,Negative,"추출 많이 된, 쓴맛만 강해서",200000000000
라떼에 우유 양이 너무 많아서 커피 맛이 다 묻혀버렸네요.,커피음료,Negative,"우유 양 너무 많아서, 커피 맛 묻힘",200000000000
원두의 깊은 맛은커피 찌꺼기 맛밖에 안 나서 실망했습니다.,커피음료,Negative,"커피 찌꺼기 맛, 실망",200000000000
아이스 커피인데 얼음이 너무 빨리 녹아서 금방 밍밍해졌어요.,커피음료,Negative,"얼음 빨리 녹아서, 밍밍",200000000000
로스팅이 과하게 된 것 같아요. 입안에 텁텁함이 너무 오래 남습니다.,커피음료,Negative,"로스팅 과하게, 텁텁함",200000000000
가격에 비해 커피 퀄리티가 너무 떨어지네요. 편의점 커피랑 비슷해요.,커피음료,Negative,"퀄리티 너무 떨어짐, 편의점 커피 비슷",200000000000
커피 향은 거의 없고 그냥 뜨거운 검은 물 마시는 기분입니다.,커피음료,Negative,"향 거의 없고, 뜨거운 검은 물",200000000000
디카페인 커피 마셨는데 약품 냄새 같은 게 나서 다 버렸어요.,커피음료,Negative,"약품 냄새, 다 버렸어요",200000000000
아메리카노에 기름이 둥둥 떠 있고 맛도 너무 텁텁해서 별로예요.,커피음료,Negative,"기름 둥둥, 텁텁, 별로",200000000000
커피가 너무 쓰고 자극적이라 마시고 나서 속이 쓰렸습니다.,커피음료,Negative,"너무 쓰고 자극적, 속 쓰림",200000000000
원두 선택이 가능하다고 해서 시켰는데 별로 차이를 모르겠네요.,커피음료,Negative,차이를 모르겠네요,200000000000
물 비율을 못 맞추시는 건지 커피 맛이 너무 제각각이라 실망입니다.,커피음료,Negative,"물 비율 못 맞춤, 맛 제각각, 실망",200000000000
커피가 너무 미지근하게 나와서 향이 다 죽어버린 것 같아요.,커피음료,Negative,"너무 미지근, 향 다 죽음",200000000000
