text,text_en
레몬 샤벳에 에스프레소를 첨가한 음료라는데 처음 마셨지만 적당한 상큼함과 에스프레소의 향긋한이 어우러져 맛있었습니다.,"It is said to be a drink made by adding espresso to lemon sherbet. It was my first time drinking it, but it was delicious with the right amount of freshness and the fragrant scent of espresso."
크고 두꺼운 소금빵은 아니고 얇고 버터 동굴도 크진 않은 듯 한데 소금맛이 너무 좋은 빵입니다,"It's not a big, thick salt bread, but it's thin and the butter cave isn't that big, but the salt taste is really good."
텐동식당 맛집 다녀와서 튀김류에 살짝 느끼함까지 잡아주는 음료라 선택이 좋았어요 :),I went to Tendong Restaurant and it was a good choice because it was a drink that counteracted the slightly greasy taste of fried food :)
웨이팅하고 받은 따끈한 겉바속촉~~👍 명성에 걸맞는 소금빵입니다~,The warm texture on the outside and the inside that I received after waiting~~👍 This is a salt bread that lives up to its reputation~
가오픈 기간에 방문했었는데 정식오픈하면 무조건 다시 가볼거에요~,"I visited during the temporary opening period, but I will definitely go again once it officially opens."
"전체적으로 산미가 강하지 않고, 초콜릿티한 뉘앙스와 고소한 견과류의 풍미가 기분 좋게 어우러졌습니다.","Overall, the acidity was not strong, and the chocolatey nuance and nutty nutty flavor were pleasantly combined."
눈으로 보기에도 예쁘고 물 한잔까지 챙겨주는게 너무 인상깊었어요.,It was pretty to look at and I was very impressed that they even provided me with a glass of water.
달달 디저트 안좋아하는데 신기해서 먹어 봤어요:) 배리뱅 콘판나 신기해서 먹어봤는데 딸기칩도 상콤하고 크림은 비건이라 더더욱 좋음!,"I don't like sweet desserts, but I tried it because it was interesting :) I tried Barry Bang Conpanna because it was interesting, and the strawberry chips were refreshing and the cream was even better because it was vegan!"
매장도 깨끗하고 쾌적해용,The store is clean and comfortable too.
계산 따로 웨이팅 따로 시스템이라 아주 빠르게 돌아가서 긴 기다림없이도 바로 픽업이 가능합니다!,"Since there is a separate checkout and waiting system, it goes back very quickly and you can pick it up right away without having to wait a long time!"
매장이 넓고 깨끗하고 분위기도 좋았어요,"The store was spacious, clean, and had a nice atmosphere."
"클래식 딥 쇼콜라와 파이콘 먹었는데, 비주얼부터 아주 멋지지 않나요?","I had the classic deep chocolate and pycon, and didn’t it look really nice?"
